0,Avatar
1,Pirates of the Caribbean: At World's End
2,Spectre
3,The Dark Knight Rises
4,John Carter
5,Spider-Man 3
6,Tangled
7,Avengers: Age of Ultron
8,Harry Potter and the Half-Blood Prince
9,Batman v Superman: Dawn of Justice
10,Superman Returns
11,Quantum of Solace
12,Pirates of the Caribbean: Dead Man's Chest
13,The Lone Ranger
14,Man of Steel
15,The Chronicles of Narnia: Prince Caspian
16,The Avengers
17,Pirates of the Caribbean: On Stranger Tides
18,Men in Black 3
19,The Hobbit: The Battle of the Five Armies
20,The Amazing Spider-Man
21,Robin Hood
22,The Hobbit: The Desolation of Smaug
23,The Golden Compass
24,King Kong
25,Titanic
26,Captain America: Civil War
27,Battleship
28,Jurassic World
29,Skyfall
30,Spider-Man 2
31,Iron Man 3
32,Alice in Wonderland
33,X-Men: The Last Stand
34,Monsters University
35,Transformers: Revenge of the Fallen
36,Transformers: Age of Extinction
37,Oz: The Great and Powerful
38,The Amazing Spider-Man 2
39,TRON: Legacy
40,Cars 2
41,Green Lantern
42,Toy Story 3
43,Terminator Salvation
44,Furious 7
45,World War Z
46,X-Men: Days of Future Past
47,Star Trek Into Darkness
48,Jack the Giant Slayer
49,The Great Gatsby
50,Prince of Persia: The Sands of Time
51,Pacific Rim
52,Transformers: Dark of the Moon
53,Indiana Jones and the Kingdom of the Crystal Skull
54,The Good Dinosaur
55,Brave
56,Star Trek Beyond
57,WALL·E
58,Rush Hour 3
59,2012
60,A Christmas Carol
61,Jupiter Ascending
62,The Legend of Tarzan
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
64,X-Men: Apocalypse
65,The Dark Knight
66,Up
67,Monsters vs Aliens
68,Iron Man
69,Hugo
70,Wild Wild West
71,The Mummy: Tomb of the Dragon Emperor
72,Suicide Squad
73,Evan Almighty
74,Edge of Tomorrow
75,Waterworld
76,G.I. Joe: The Rise of Cobra
77,Inside Out
78,The Jungle Book
79,Iron Man 2
80,Snow White and the Huntsman
81,Maleficent
82,Dawn of the Planet of the Apes
83,The Lovers
84,47 Ronin
85,Captain America: The Winter Soldier
86,Shrek Forever After
87,Tomorrowland
88,Big Hero 6
89,Wreck-It Ralph
90,The Polar Express
91,Independence Day: Resurgence
92,How to Train Your Dragon
93,Terminator 3: Rise of the Machines
94,Guardians of the Galaxy
95,Interstellar
96,Inception
97,The Hobbit: An Unexpected Journey
98,The Fast and the Furious
99,The Curious Case of Benjamin Button
100,X-Men: First Class
101,The Hunger Games: Mockingjay - Part 2
102,The Sorcerer's Apprentice
103,Poseidon
104,Alice Through the Looking Glass
105,Shrek the Third
106,Warcraft
107,Terminator Genisys
108,The Chronicles of Narnia: The Voyage of the Dawn Treader
109,Pearl Harbor
110,Transformers
111,Alexander
112,Harry Potter and the Order of the Phoenix
113,Harry Potter and the Goblet of Fire
114,Hancock
115,I Am Legend
116,Charlie and the Chocolate Factory
117,Ratatouille
118,Batman Begins
119,Madagascar: Escape 2 Africa
120,Night at the Museum: Battle of the Smithsonian
121,X-Men Origins: Wolverine
122,The Matrix Revolutions
123,Frozen
124,The Matrix Reloaded
